HMA_Lat,HMA_Lng,blg_age,RFT_UPrice,kfold
22.378791,114.10108600000001,40.0,10450,0
22.306935,114.234094,33.0,13295,0
22.318245,114.190352,1.0,0,0
22.273518,114.224469,23.0,9150,0
22.405932999999997,113.961629,27.0,12564,0
22.367217,114.113415,13.0,17708,0
22.318831,114.158824,13.0,25105,0
22.422714000000006,114.235127,20.0,11346,0
22.33626,114.13976,45.0,13897,0
22.422714000000006,114.235127,28.0,12807,0
22.427836,114.171813,13.0,20586,0
22.290905,114.199282,40.0,16143,0
22.320794,114.217267,38.0,13318,0
22.283267,114.222864,31.0,16667,0
22.318245,114.190352,13.0,19346,0
22.295036,114.236164,1.0,25445,0
22.326678,114.15206200000002,1.0,23217,0
22.37792,113.980175,30.0,9130,0
22.444294,114.165867,29.0,14683,0
22.340996,114.192475,18.0,11032,0
22.326678,114.15206200000002,1.0,21960,0
22.309057,114.186447,47.0,11090,0
22.303931,114.188613,18.0,17661,0
22.405932999999997,113.961629,31.0,7724,0
22.243505,114.147505,25.0,16667,0
22.326678,114.15206200000002,1.0,22580,0
22.334984,114.157164,4.0,18182,0
22.320079999999997,114.163208,3.0,0,0
22.25893,114.130709,14.0,23035,0
22.243505,114.147505,25.0,17403,0
22.281215,114.125334,15.0,25115,0
22.372988,114.127028,10.0,12701,0
22.422714000000006,114.235127,2.0,18210,0
22.308356,114.258804,3.0,19231,0
22.367217,114.113415,31.0,10247,0
22.277419,114.239531,30.0,17470,0
22.281018,114.186001,32.0,20221,0
22.378791,114.10108600000001,32.0,13570,0
22.443599,114.037216,16.0,15219,0
22.312451,114.17000300000001,16.0,18534,0
22.320079999999997,114.163208,62.0,14066,0
22.282909,114.216459,34.0,17989,0
22.318048,114.169792,54.0,5464,0
22.458973,114.175596,36.0,7262,0
22.495458,114.13488,29.0,11215,0
22.303931,114.188613,30.0,16307,0
22.261999,114.251559,27.0,8953,0
22.329207,114.16325,55.0,10526,0
22.334984,114.157164,65.0,16500,0
22.288071,113.946923,15.0,10354,0
22.270077,114.184586,47.0,18926,0
22.432216,114.029619,11.0,11696,0
22.387220000000006,114.203433,37.0,11293,0
22.273518,114.224469,26.0,8550,0
22.375079,114.176475,9.0,17218,0
22.243505,114.147505,27.0,19351,0
22.308356,114.258804,3.0,20484,0
22.387220000000006,114.203433,39.0,16483,0
22.443163,114.025459,17.0,13084,0
22.286554,114.149623,37.0,19231,0
22.286554,114.149623,16.0,16598,0
22.314572,114.26522800000001,15.0,15628,0
22.324725,114.252646,20.0,16729,0
22.314572,114.26522800000001,18.0,14916,0
22.261497,114.234297,36.0,13131,0
22.242732,114.153397,32.0,12857,0
22.387220000000006,114.203433,37.0,17370,0
22.288071,113.946923,13.0,11905,0
22.405932999999997,113.961629,26.0,10740,0
22.303931,114.188613,30.0,14614,0
22.277419,114.239531,31.0,16287,0
22.326678,114.15206200000002,1.0,23082,0
22.442947,113.986349,9.0,9524,0
22.456221,114.004887,25.0,11312,0
22.287405,114.217806,41.0,19423,0
22.261497,114.234297,42.0,16167,0
22.35144,114.05994,15.0,11947,0
22.278823000000006,114.174415,43.0,16878,0
22.443599,114.037216,3.0,15507,0
22.385196,114.18878600000001,34.0,18956,0
22.290905,114.199282,34.0,15152,0
22.377048,113.963078,28.0,7772,0
22.294939000000007,114.26958,9.0,12094,0
22.443163,114.025459,28.0,12165,0
22.367217,114.113415,15.0,15067,0
22.422714000000006,114.235127,25.0,18521,0
22.318245,114.190352,1.0,18827,0
22.318048,114.169792,53.0,10874,0
22.33626,114.13976,47.0,15089,0
22.405932999999997,113.961629,19.0,12284,0
22.318245,114.190352,1.0,19643,0
22.370731,114.061682,25.0,13043,0
22.443163,114.025459,40.0,12281,0
22.393461,113.976603,27.0,13390,0
22.280332,114.14030100000001,34.0,18985,0
22.308356,114.258804,17.0,16989,0
22.273518,114.224469,26.0,9628,0
22.306381,114.16025400000001,14.0,56050,0
22.308356,114.258804,3.0,18793,0
22.330039000000006,114.201533,1.0,23359,0
22.280332,114.14030100000001,35.0,20118,0
22.324725,114.252646,20.0,15873,0
22.290905,114.199282,34.0,19956,0
22.308356,114.258804,2.0,21921,0
22.458973,114.175596,34.0,11421,0
22.278841,114.232037,27.0,15569,0
22.326678,114.15206200000002,1.0,21549,0
22.324742999999998,114.20922900000001,38.0,14615,0
22.308356,114.258804,3.0,17411,0
22.377048,113.963078,28.0,11554,0
22.280332,114.14030100000001,28.0,16667,0
22.303569,114.249728,12.0,16187,0
22.387220000000006,114.203433,35.0,17599,0
22.443599,114.037216,3.0,18809,0
22.416209,113.969819,35.0,11015,0
22.278823000000006,114.174415,13.0,26138,0
22.280332,114.14030100000001,7.0,33820,0
22.306935,114.234094,25.0,14120,0
22.340996,114.192475,1.0,17692,0
22.318245,114.190352,24.0,15563,0
22.288887,114.211224,30.0,18282,0
22.306935,114.234094,28.0,15791,0
22.336089,114.198736,56.0,10983,0
22.278823000000006,114.174415,54.0,12091,0
22.295036,114.236164,1.0,24648,0
22.422714000000006,114.235127,11.0,14572,0
22.422714000000006,114.235127,16.0,15172,0
22.448401999999998,114.026681,3.0,18699,0
22.340996,114.192475,30.0,11253,0
22.44077,114.044454,18.0,11184,0
22.393461,113.976603,23.0,11122,0
22.294939000000007,114.26958,11.0,14575,0
22.287847,114.140927,54.0,25581,0
22.33626,114.13976,48.0,12539,0
22.303569,114.249728,14.0,14467,0
22.308356,114.258804,22.0,10135,0
22.326678,114.15206200000002,1.0,21250,0
22.294939000000007,114.26958,10.0,12638,0
22.362391,114.112942,31.0,14105,0
22.288887,114.211224,41.0,18414,0
22.317588,114.18068600000001,40.0,12996,0
22.278823000000006,114.174415,53.0,10957,0
22.458973,114.175596,33.0,16284,0
22.444294,114.165867,27.0,6366,0
22.278823000000006,114.174415,28.0,15789,0
22.323883,114.16927,54.0,11404,0
22.456221,114.004887,10.0,10980,0
22.273518,114.224469,20.0,11622,0
22.345219,114.098912,16.0,12664,0
22.270993,114.151247,32.0,53015,0
22.416209,113.969819,35.0,10171,0
22.305873,114.193021,18.0,33133,0
22.308356,114.258804,18.0,15072,0
22.374723,113.998409,3.0,13803,0
22.286277,114.134782,4.0,24751,0
22.405932999999997,113.961629,2.0,15292,0
22.416209,113.969819,16.0,12647,0
22.288071,113.946923,21.0,0,0
22.282582,114.158001,47.0,16605,0
22.309057,114.186447,6.0,17846,0
22.444294,114.165867,22.0,10705,0
22.340996,114.192475,30.0,10998,0
22.280332,114.14030100000001,19.0,27857,0
22.343639000000003,114.160326,33.0,15166,0
22.286554,114.149623,14.0,24153,0
22.318245,114.190352,3.0,21957,0
22.320849,114.18663600000001,16.0,19152,0
22.37509,114.22085,18.0,16988,0
22.286277,114.134782,6.0,21843,0
22.398547,113.984565,18.0,8161,0
22.387220000000006,114.203433,39.0,16630,0
22.242732,114.153397,33.0,14754,0
22.495458,114.13488,2.0,17234,0
22.306935,114.234094,29.0,14102,0
22.243505,114.147505,27.0,19381,0
22.443163,114.025459,39.0,13235,0
22.456221,114.004887,24.0,11538,0
22.294939000000007,114.26958,10.0,12241,0
22.288071,113.946923,15.0,9914,0
22.448401999999998,114.026681,3.0,14216,0
22.345219,114.098912,20.0,15096,0
22.345219,114.098912,30.0,14628,0
22.495458,114.13488,21.0,13806,0
22.359881,114.12187,22.0,15377,0
22.280332,114.14030100000001,26.0,19659,0
22.290905,114.199282,40.0,15695,0
22.290905,114.199282,22.0,12659,0
22.443163,114.025459,37.0,14627,0
22.324742999999998,114.20922900000001,35.0,18085,0
22.288071,113.946923,4.0,13592,0
22.352266,114.137349,33.0,12839,0
22.290905,114.199282,1.0,42519,0
22.422714000000006,114.235127,27.0,17184,0
22.318048,114.169792,39.0,13441,0
22.495458,114.13488,27.0,13404,0
22.324725,114.252646,20.0,14217,0
22.329207,114.16325,55.0,6645,0
22.324725,114.252646,23.0,17333,0
22.432216,114.029619,6.0,0,0
22.345219,114.098912,16.0,12193,0
22.295036,114.236164,7.0,15103,0
22.294939000000007,114.26958,11.0,14361,0
22.342066,114.205093,20.0,10993,0
22.336089,114.198736,19.0,12487,0
22.314572,114.26522800000001,30.0,12020,0
22.303931,114.188613,29.0,13690,0
22.281018,114.186001,60.0,11995,0
22.375079,114.176475,10.0,15729,0
22.309057,114.186447,30.0,17013,0
22.303931,114.188613,33.0,13197,0
22.287847,114.140927,30.0,19817,0
22.236985999999998,114.158271,16.0,17083,0
22.376214,114.111897,22.0,15200,0
22.342066,114.205093,29.0,14415,0
22.294939000000007,114.26958,5.0,13148,0
22.306935,114.234094,29.0,12406,0
22.448401999999998,114.026681,3.0,13164,0
22.38786,113.962247,15.0,12319,0
22.290905,114.199282,30.0,16433,0
22.287847,114.140927,39.0,0,0
22.326678,114.15206200000002,1.0,24393,0
22.281215,114.125334,49.0,14565,0
22.375079,114.176475,10.0,16248,0
22.374723,113.998409,3.0,11073,0
22.377048,113.963078,34.0,12130,0
22.417144,113.995154,15.0,11899,0
22.456221,114.004887,20.0,7200,0
22.261999,114.251559,23.0,9932,0
22.456221,114.004887,19.0,7385,0
22.378791,114.10108600000001,40.0,13277,0
22.252973,114.160797,39.0,14320,0
22.345219,114.098912,19.0,12174,0
22.329207,114.16325,5.0,0,0
22.308356,114.258804,3.0,17676,0
22.287405,114.217806,39.0,21375,0
22.318245,114.190352,13.0,16149,0
22.318831,114.158824,15.0,18315,0
22.477751,114.232487,29.0,19725,0
22.261497,114.234297,39.0,12744,0
22.281215,114.125334,35.0,16301,0
22.44714,114.063281,5.0,0,0
22.452652,114.157858,28.0,14080,0
22.288071,113.946923,15.0,11142,0
22.299062,114.00735900000001,14.0,11680,0
22.281215,114.125334,19.0,19397,0
22.340996,114.192475,28.0,8000,0
22.318831,114.158824,20.0,22363,0
22.345219,114.098912,5.0,12059,0
22.315212,114.225184,40.0,9554,0
22.273862,114.16232,28.0,44372,0
22.38786,113.962247,28.0,6508,0
22.456221,114.004887,20.0,8854,0
22.374723,113.998409,3.0,18675,0
22.290905,114.199282,1.0,39863,0
22.329207,114.16325,64.0,13000,0
22.393461,113.976603,31.0,15596,0
22.344065,114.211855,35.0,13990,0
22.286277,114.134782,43.0,25540,0
22.318831,114.158824,18.0,22044,0
22.326678,114.15206200000002,1.0,24014,0
22.395252,114.192115,24.0,14457,0
22.495458,114.13488,21.0,13753,0
22.442947,113.986349,26.0,11652,0
22.345219,114.098912,35.0,13720,0
22.242732,114.153397,33.0,14684,0
22.243505,114.147505,27.0,21412,0
22.424097,114.08792700000001,11.0,0,0
22.344657,114.136764,43.0,11925,0
22.288071,113.946923,17.0,11224,0
22.345219,114.098912,33.0,15632,0
22.456221,114.004887,20.0,8050,0
22.326678,114.15206200000002,1.0,23438,0
22.283267,114.222864,3.0,22143,0
22.282695,114.200269,55.0,19789,0
22.320079999999997,114.163208,17.0,17756,0
22.326678,114.15206200000002,1.0,21407,0
22.287847,114.140927,4.0,23904,0
22.495458,114.13488,24.0,12838,0
22.286277,114.134782,35.0,17919,0
22.371246,114.116594,55.0,11201,0
22.299062,114.00735900000001,26.0,9522,0
22.324725,114.252646,20.0,19201,0
22.495458,114.13488,9.0,0,0
22.367217,114.113415,14.0,19584,0
22.330095,114.18981200000002,8.0,21226,0
22.288887,114.211224,41.0,18619,0
22.306381,114.16025400000001,14.0,39286,0
22.274956,114.194672,34.0,20720,0
22.335467,114.1806,9.0,15957,0
22.303931,114.188613,19.0,20635,0
22.495458,114.13488,21.0,11111,0
22.345219,114.098912,21.0,13187,0
22.385196,114.18878600000001,31.0,17018,0
22.308356,114.258804,2.0,13249,0
22.308356,114.258804,2.0,17400,0
22.422714000000006,114.235127,4.0,16935,0
22.280332,114.14030100000001,32.0,23232,0
